index	title	freq	cl_agl-20	cl_agl-50	cn_agl-20	cn_agl-50
44	#9 fen	6886	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
45	#9 resp	6827	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
46	r	6801	13	13	plan | p | a [328,746]	plan | p | a [328,746]
47	g&d	6683	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
48	gu/gi	6595	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
49	hc	6534	4	4	wt | hc | birth wt [30,514]	hc | ob | pedi [10,504]
50	resp care	6395	14	41	resp | respiratory care | pulm [220,891]	respiratory care | resp care | respiratory care note [24,355]
51	integ	6385	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
52	soc	6267	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
53	#9o	6235	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
54	9. fen	6133	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
55	9	6003	9	28	parenting | 9 | [** **] [74,008]	9 | 9.) fen | 9.) resp [7,896]
56	g/d	5655	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
57	chest	5626	1	14	pe | abd | heent [111,880]	pe | chest | cvr [37,348]
58	imp	5516	1	9	pe | abd | heent [111,880]	assessment/plan | imp | plans [19,418]
59	general	5427	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
60	labs	5333	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
61	addendum	5328	8	6	o | events | d [133,786]	o | events | d [123,792]
62	plans	5081	1	9	pe | abd | heent [111,880]	assessment/plan | imp | plans [19,418]
63	c/v	5055	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
64	ms	4875	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
65	#9. o	4789	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
66	bili	4746	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
67	cvr	4712	1	14	pe | abd | heent [111,880]	pe | chest | cvr [37,348]
68	[** **]	4711	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
69	dispo	4580	13	13	plan | p | a [328,746]	plan | p | a [328,746]
70	9. g/d	4441	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
71	imp/plan	4318	1	14	pe | abd | heent [111,880]	pe | chest | cvr [37,348]
72	respiratory	4274	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
73	assessment	4192	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
74	gen	4098	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
75	lines	4026	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
76	#9 dev	3797	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
77	activity	3748	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
78	other	3433	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
79	9. dev	3268	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
80	endocrine	3258	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
81	comfort	3220	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
82	#9fen	3201	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
83	family	3085	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
84	pmh	3076	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
85	neonatology attending progress note	3008	1	14	pe | abd | heent [111,880]	pe | chest | cvr [37,348]
86	parents	2959	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
87	par	2951	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
88	fen o/a	2938	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
89	respiratory care note	2889	14	41	resp | respiratory care | pulm [220,891]	respiratory care | resp care | respiratory care note [24,355]
90	9. f/n	2739	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
91	data	2730	8	7	o | events | d [133,786]	data | response | action [9,994]
92	focus	2650	8	6	o | events | d [133,786]	o | events | d [123,792]
93	sepsis	2629	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
94	assess	2548	13	13	plan | p | a [328,746]	plan | p | a [328,746]
95	exam	2444	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
96	resp o/a	2436	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
97	#9resp	2391	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
98	9. g&d	2352	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
99	g&d o/a	2331	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
100	n	2324	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
101	indication	2295	1	43	pe | abd | heent [111,880]	indication | procedure | procedure note [4,518]
102	alt in parenting	2240	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
103	9. par	2234	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
104	poc	2227	13	13	plan | p | a [328,746]	plan | p | a [328,746]
105	nursing progress note	2201	8	6	o | events | d [133,786]	o | events | d [123,792]
106	psychosocial	2168	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
107	derm	2087	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
108	f/e/n	1940	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
109	nursing note	1900	8	6	o | events | d [133,786]	o | events | d [123,792]
110	cvr/resp	1871	1	14	pe | abd | heent [111,880]	pe | chest | cvr [37,348]
111	bs	1838	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
112	9. [** **]	1818	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
113	#9 [** **]	1806	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
114	lungs	1766	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
115	#9- o/a	1763	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
116	lytes	1715	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
117	allergies	1676	6	40	assessment | pmh | allergies [19,974]	allergies | meds | allergy [4,176]
118	#9-o	1674	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
119	#9. fen o	1669	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
120	cardio	1663	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
121	alt in resp	1654	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
122	9. f&n	1620	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
123	#9 fen o	1607	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
124	#9. growth/development o	1597	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
125	npn	1576	8	6	o | events | d [133,786]	o | events | d [123,792]
126	#9 g&d	1574	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
127	9.o	1569	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
128	nuero	1531	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
129	#9 f/n	1525	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
130	#9parenting	1512	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
131	9. parents	1491	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
132	#9 parents	1490	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
133	procedure	1476	1	43	pe | abd | heent [111,880]	indication | procedure | procedure note [4,518]
134	#9 development	1465	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
135	resp/cv	1459	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
136	respr	1437	1	19	pe | abd | heent [111,880]	abd | ext | respr [25,458]
137	c-v	1435	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
138	meds	1395	6	40	assessment | pmh | allergies [19,974]	allergies | meds | allergy [4,176]
139	9. parenting	1331	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
140	act	1329	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
141	f&n	1286	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
142	ros	1274	8	6	o | events | d [133,786]	o | events | d [123,792]
143	#9deve	1273	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
144	social/dispo	1271	13	13	plan | p | a [328,746]	plan | p | a [328,746]
145	aga. p	1264	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
146	rr	1264	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
147	iv	1235	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
148	#9 bili	1222	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
149	abdomen	1221	1	19	pe | abd | heent [111,880]	abd | ext | respr [25,458]
150	#9 parenting	1213	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
151	g.i.	1177	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
152	#9. respiratory o	1176	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
153	response	1172	8	7	o | events | d [133,786]	data | response | action [9,994]
154	action	1172	8	7	o | events | d [133,786]	data | response | action [9,994]
155	heart	1172	1	19	pe | abd | heent [111,880]	abd | ext | respr [25,458]
156	par o/a	1169	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
157	9. bili	1160	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
158	#9 parenting o	1138	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
159	f/n	1128	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
160	psych/social	1127	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
161	9. cv	1102	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
162	birth wt	1080	4	49	wt | hc | birth wt [30,514]	wt | birth wt [7,989]
163	#9dev	1056	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
164	res	1054	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
165	#9 resp o	1041	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
166	fen o	1036	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
167	a&p	1009	13	13	plan | p | a [328,746]	plan | p | a [328,746]
168	g.u.	1002	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
169	parenting o	995	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
170	impression	995	1	9	pe | abd | heent [111,880]	assessment/plan | imp | plans [19,418]
171	heme/id	991	8	7	o | events | d [133,786]	data | response | action [9,994]
172	gi/gu/endo	990	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
173	ccu nsg note	983	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
174	gu/renal	978	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
175	social work note	968	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
176	f/e	967	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
177	dev o	965	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
178	gi/endo	963	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
179	ccu npn	951	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
180	feeds. p	937	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
181	9. sepsis	926	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
182	psy-soc	923	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
183	pns	919	1	44	pe | abd | heent [111,880]	pns | pre/perinatal hx | pregnancy [1,644]
184	cv- tele	917	8	6	o | events | d [133,786]	o | events | d [123,792]
185	#9 g/d	892	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
186	ob	881	4	4	wt | hc | birth wt [30,514]	hc | ob | pedi [10,504]
187	endoc	879	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
188	hyperbili	877	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
189	respir	871	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
190	9.fen	868	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
191	tolerating feeds. p	866	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
192	d/a	856	8	6	o | events | d [133,786]	o | events | d [123,792]
193	[**known lastname **]	855	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
194	dx	835	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
195	wound	827	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
196	physical exam	821	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
197	[** 9**]	814	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
198	[**last name (un) **]	814	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
199	incisions	811	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
200	iv access	807	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
201	9. [** 9**]	798	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
202	#9 - resp	788	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
203	#9g&d	774	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
204	aga p	761	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
205	i-d	754	15	46	cv | id | cardiac [283,370]	id | i-d | i.d. [75,390]
206	g+d	748	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
207	gu status	747	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
208	resp o	742	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
209	gi status	739	8	7	o | events | d [133,786]	data | response | action [9,994]
210	#9 cv	715	2	45	#9 o | #9 | 9. o [108,709]	9. cv | #9 cv | cv o/a [3,971]
211	resp status	698	8	7	o | events | d [133,786]	data | response | action [9,994]
212	vs	691	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
213	nursing progress note 9999-9999 hours	684	8	6	o | events | d [133,786]	o | events | d [123,792]
214	cns	684	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
215	t-sicu nsg note	680	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
216	dev o/a	678	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
217	#9 social	675	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
218	#9parents	674	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
219	questions. a	660	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
220	card	659	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
221	cards	658	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
222	alt in fen	656	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
223	#9 fen s/o	645	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
224	neuro/pain	645	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
225	pmhx	640	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
226	9.resp	639	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
227	family. p	635	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
228	impression/plan	635	1	9	pe | abd | heent [111,880]	assessment/plan | imp | plans [19,418]
229	cor	633	1	19	pe | abd | heent [111,880]	abd | ext | respr [25,458]
230	#9 dev s/o	618	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
231	fe	617	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
232	integumentary	616	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
233	npn (noc)	610	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
234	hem	608	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
235	9. hyperbili	604	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
236	resp. care	603	14	41	resp | respiratory care | pulm [220,891]	respiratory care | resp care | respiratory care note [24,355]
237	abgs	602	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
238	#99 o	601	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
239	stable. p	598	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
240	prob	592	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
241	neuro status	584	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
242	#9 - g&d	583	11	42	fen | #9 fen | 9. fen [79,977]	#9 - g&d | #9 - f&n | #9 - fen [2,126]
243	sh	577	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
244	sx	574	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
245	** access	574	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
246	g-i	571	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
247	#9 - f&n	564	11	42	fen | #9 fen | 9. fen [79,977]	#9 - g&d | #9 - f&n | #9 - fen [2,126]
248	a/b's	562	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
249	#9 id	561	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
250	tf	558	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
251	plan of care	552	13	13	plan | p | a [328,746]	plan | p | a [328,746]
252	shift. a	552	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
253	[**last name (un) 999**]	552	1	19	pe | abd | heent [111,880]	abd | ext | respr [25,458]
254	npn addendum	551	0	36	a/b's | npn addendum | caffeine. a [28,763]	a/b's | npn addendum | a/b [6,373]
255	#9 sepsis	540	18	18	sepsis | 9. sepsis | #9 dev s/o [10,431]	sepsis | 9. sepsis | #9 dev s/o [10,431]
256	nursing addendum	535	8	6	o | events | d [133,786]	o | events | d [123,792]
257	9. fen o	535	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
258	env't	533	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
259	pacifier. a	533	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
260	g-u	527	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
261	bili o/a	525	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
262	procedure note	521	1	43	pe | abd | heent [111,880]	indication | procedure | procedure note [4,518]
263	*access	520	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
264	neruo	520	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
265	hpi	518	6	11	assessment | pmh | allergies [19,974]	assessment | pmh | ccu nsg note [15,798]
266	9.) fen	512	9	28	parenting | 9 | [** **] [74,008]	9 | 9.) fen | 9.) resp [7,896]
267	pedi	511	4	4	wt | hc | birth wt [30,514]	hc | ob | pedi [10,504]
268	#9 [** 9**]	510	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
269	#9par	505	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
270	misc	504	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
271	lab	503	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
272	9. [** 99**]	498	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
273	hyperbilirubinemia	495	10	38	bili | #9 bili | 9. bili [13,490]	bili | #9 bili | 9. bili [11,235]
274	9. g&d o	491	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
275	add	488	8	6	o | events | d [133,786]	o | events | d [123,792]
276	respiratory note	479	14	41	resp | respiratory care | pulm [220,891]	respiratory care | resp care | respiratory care note [24,355]
277	sicu nn	478	8	6	o | events | d [133,786]	o | events | d [123,792]
278	#9. [** **] o	471	9	29	parenting | 9 | [** **] [74,008]	#9. [** **] o | #9. parenting o | #9. parents o [1,451]
279	#9. fen	467	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
280	stable p	466	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
281	asmt	465	13	13	plan | p | a [328,746]	plan | p | a [328,746]
282	shift events	459	8	6	o | events | d [133,786]	o | events | d [123,792]
283	involved. p	455	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
284	cv status	450	8	7	o | events | d [133,786]	data | response | action [9,994]
285	hemodynamics	448	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
286	cares. a	447	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
287	comfort self. afsf. aga. p	447	7	15	dev | g&d | g/d [68,560]	aga. p | comfort self. afsf. aga. p | development [6,315]
288	shift. p	443	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
289	review of systems	438	8	6	o | events | d [133,786]	o | events | d [123,792]
290	extrem	438	4	37	wt | hc | birth wt [30,514]	env't | extrem | dvlp [3,837]
291	9.dev	437	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
292	appropriate questions. a	436	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
293	correction	436	4	24	wt | hc | birth wt [30,514]	npn (noc) | correction | 9 day average intake [8,184]
294	[**hospital9 **]	434	9	1	parenting | 9 | [** **] [74,008]	[** **] | #9 parenting o | parenting o [22,828]
295	well. p	434	17	0	feeds. p | tolerating feeds. p | stable. p [16,349]	feeds. p | tolerating feeds. p | stable. p [13,513]
296	#9 dev.	433	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
297	event	424	8	6	o | events | d [133,786]	o | events | d [123,792]
298	skin integrity	415	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
299	significant events	415	8	6	o | events | d [133,786]	o | events | d [123,792]
